date,name,origin,price,specification
2020-05-23,桃,河北/山东/广西/陕西/山西/湖北,14.22,纸箱
2020-05-23,香瓜,广西/海南,4.5,纸箱
2020-05-23,布冧,陕西,10.71,纸箱
2020-05-23,菠萝,广东/海南,5.71,筐
2020-05-23,香梨,新疆,14.58,纸箱
2020-05-23,梨,河北,8.53,纸箱
2020-05-23,橙,广西/湖南/湖北,8.22,胶框
2020-05-23,菠萝蜜,广西,5.3,个
2020-05-23,香蕉,广东/海南,5,纸箱
2020-05-23,哈密瓜,海南,7.71,纸箱
2020-05-23,西瓜,海南/广西/云南,5.29,纸箱
2020-05-23,柠檬,四川/广东/海南,12,纸箱
2020-05-23,提子,云南,19.17,胶框
2020-05-23,苹果,山东/陕西,10.28,纸箱
2023-05-23,橙,广西/湖南/湖北,8.44,胶箱
2023-05-23,哈密瓜,海南,6.93,纸箱
2023-05-23,进口菠萝,泰国,10.5,纸箱
2023-05-23,进口山竹,泰国/印尼,51.25,特级
2023-05-23,进口火龙果,越南,11.5,纸箱
2023-05-23,进口榴莲,泰国/越南,55.88,纸箱
2023-05-23,进口龙眼,泰国,22.5,特级
2023-05-23,进口椰子,泰国,11.67,纸箱
2023-05-23,进口西柑,秘鲁,11.82,纸箱
2023-05-23,进口西柚,以色列,10.67,纸箱
2023-05-23,进口牛油果,秘鲁,24.5,纸箱
2023-05-23,进口啤梨,智利,22,纸箱
2023-05-23,进口苹果,美国,16.84,纸箱
2023-05-23,进口提子,秘鲁/澳大利亚,25.79,胶箱
2023-05-23,进口橙,美国/埃及,17.06,纸箱
2022-05-23,樱桃,辽宁/山东,64,胶框
2022-05-23,杨梅,福建/云南,15,胶框
2022-05-23,李,云南/广东,11.67,纸箱
2022-05-23,枇杷,云南/福建,20,泡沫箱
2022-05-23,芒果,海南,6.5,筐
2022-05-23,苹果,山东/陕西,10,纸箱
2022-05-23,进口菠萝,泰国,10.5,纸箱
2022-05-23,进口龙眼,泰国,23.5,特级
2022-05-23,进口火龙果,越南,12.5,纸箱
2022-05-23,进口山竹,泰国/印度尼西亚,52.5,特级
2022-05-23,进口椰子,泰国,12.33,纸箱
2022-05-23,进口榴莲,泰国,55,纸箱
2022-05-23,进口奇异果,智利/希腊,31,纸箱
2022-05-23,进口牛油果,秘鲁,24.75,纸箱
2022-05-23,进口啤梨,新西兰/智利/比利时,21,纸箱
2022-05-23,进口橙,美国,17.65,纸箱
2022-05-23,进口苹果,秘鲁,17.11,纸箱
2022-05-23,进口提子,智利/秘鲁,25.26,纸箱
2022-05-23,进口西柚,南非/智利/埃及,11.33,纸箱
2021-05-23,樱桃,辽宁/山东,70,胶框
2021-05-23,杨梅,福建/云南,15.56,胶框
2021-05-23,李,云南/广东,12.5,纸箱
2021-05-23,枇杷,云南/福建,19.17,泡沫箱
2021-05-23,芒果,海南,6.75,筐
2021-05-23,木瓜,海南,5.54,泡沫箱
2021-05-23,火龙果,广东/海南,9.5,胶框
2021-05-23,杨桃,广东,4.25,胶框
2021-05-23,龙眼,海南,16.38,泡沫箱
2021-05-23,圣女果,广西/广东/海南,11.5,胶箱
2021-05-23,荔枝,海南,17.25,泡沫箱
2021-05-23,番石榴,广东,4.25,纸箱
2021-05-23,桃,河北/山东/广西/陕西/山西/湖北,14.17,纸箱
2021-05-23,香瓜,广西/海南,4.5,纸箱
2021-05-23,布冧,陕西,11.07,纸箱
2021-05-23,菠萝,广东/海南,5.71,筐
2021-05-23,香梨,新疆,14.58,纸箱
2021-05-23,梨,河北,8.55,纸箱
2021-05-23,橙,广西/湖南/湖北,8.22,胶框
2021-05-23,菠萝蜜,广西,5.5,个
2021-05-23,香蕉,广东/海南,5.1,纸箱
2021-05-23,哈密瓜,海南,7.68,纸箱
2021-05-23,西瓜,海南/广西/云南,5.36,纸箱
2021-05-23,柠檬,四川/广东/海南,12,纸箱
2021-05-23,提子,云南,19.42,胶框
2021-05-23,苹果,山东/陕西,10.56,纸箱
2021-05-23,进口菠萝,泰国,10.75,纸箱
2021-05-23,进口菠萝蜜,泰国,8.75,纸箱
2021-05-23,进口龙眼,泰国,24.5,特级
2021-05-23,进口火龙果,越南,11.75,纸箱
2021-05-23,进口山竹,泰国/印度尼西亚,53.75,特级
2021-05-23,进口椰子,泰国,11.83,纸箱
2021-05-23,进口榴莲,泰国/越南,53.09,纸箱
2021-05-23,进口奇异果,智利/希腊,27,纸箱
2021-05-23,进口牛油果,秘鲁,24,纸箱
2021-05-23,进口橙,美国,17.5,纸箱
2021-05-23,进口苹果,秘鲁,16.58,纸箱
2021-05-23,进口提子,智利/秘鲁,24.74,纸箱
2021-05-23,进口西柚,南非/智利/埃及,11.67,纸箱
2021-05-23,进口啤梨,新西兰/智利/比利时,19.5,纸箱
2020-05-23,樱桃,辽宁/山东,70,胶框
2020-05-23,杨梅,福建/云南,15,胶框
2020-05-23,李,云南/广东,12,纸箱
2020-05-23,枇杷,云南/福建,19.17,泡沫箱
2020-05-23,芒果,海南,6.5,筐
2020-05-23,木瓜,海南,5.43,泡沫箱
2023-05-23,枇杷,云南/福建,18.33,泡沫箱
2023-05-23,芒果,海南,6.25,筐
2023-05-23,火龙果,广东/海南,9.67,胶框
2023-05-23,杨桃,广东,4.75,胶框
2023-05-23,龙眼,海南,14.25,泡沫箱
2023-05-23,圣女果,广西/广东/海南,11.6,胶箱
2023-05-23,荔枝,海南,13.25,泡沫箱
2023-05-23,番石榴,广东,4.63,纸箱
2023-05-23,苹果,陕西,10.61,胶箱
2023-05-23,香瓜,广西/海南,4,纸箱
2023-05-23,布冧,陕西,12.86,纸箱
2023-05-23,提子,云南,17.17,胶框
2023-05-23,桃,河北/山东/广西/陕西/山西/湖北,13.33,纸箱
2023-05-23,梨,山西,8.26,纸箱
2023-05-23,香梨,新疆,13.75,纸箱
2023-05-23,菠萝蜜,海南,7.5,个
2023-05-23,菠萝,广东,5.77,胶框
2023-05-23,香蕉,广东/海南,4.7,纸箱
2023-05-23,西瓜,海南/广西/云南,4.64,纸箱
2023-05-23,柠檬,四川/广东/海南,12,纸箱
2022-05-23,木瓜,海南,5,泡沫箱
2022-05-23,火龙果,广东/海南,10,胶框
2022-05-23,杨桃,广东,4.5,胶框
2022-05-23,龙眼,海南,15.25,泡沫箱
2022-05-23,圣女果,广西/广东/海南,12,胶箱
2022-05-23,荔枝,海南,15.25,泡沫箱
2022-05-23,番石榴,广东,4.5,纸箱
2022-05-23,香瓜,广西/海南,4.2,纸箱
2022-05-23,布冧,陕西,11.43,纸箱
2022-05-23,桃,河北/山东/广西/陕西/山西/湖北,12.78,纸箱
2022-05-23,菠萝,广东/海南,5.71,筐
2022-05-23,香梨,新疆,13.33,纸箱
2022-05-23,梨,河北,8.05,纸箱
2022-05-23,橙,广西/湖南/湖北,8,胶框
2022-05-23,菠萝蜜,广西,6.5,个
2022-05-23,香蕉,广东/海南,5,纸箱
2022-05-23,哈密瓜,海南,7.14,纸箱
2022-05-23,西瓜,海南/广西/云南,5.14,纸箱
2022-05-23,柠檬,四川/广东/海南,12.5,纸箱
2022-05-23,提子,云南,18.17,胶框
date,name,origin,price,specification
2024-05-23,樱桃,辽宁/山东,50,胶框
2024-05-23,杨梅,福建/云南,17.78,胶框
2024-05-23,李,云南/广东,10.67,纸箱
2024-05-23,枇杷,云南/福建,18.33,泡沫箱
2024-05-23,芒果,海南,6.5,筐
2024-05-23,火龙果,广东/海南,9.33,胶框
2024-05-23,杨桃,广东,4.75,胶框
2024-05-23,龙眼,海南,13.75,泡沫箱
2024-05-23,圣女果,广西/广东/海南,12.2,胶箱
2024-05-23,荔枝,海南,12.5,泡沫箱
2024-05-23,番石榴,广东,4.75,纸箱
2024-05-23,苹果,陕西,11.17,胶箱
2024-05-23,香瓜,广西/海南,4.3,纸箱
2024-05-23,布冧,陕西,14.29,纸箱
2024-05-23,提子,云南,18,胶框
2024-05-23,桃,河北/山东/广西/陕西/山西/湖北,13.89,纸箱
2024-05-23,梨,山西,8.26,纸箱
2024-05-23,香梨,新疆,13.75,纸箱
2024-05-23,菠萝蜜,海南,8.5,个
2024-05-23,菠萝,广东,5.43,胶框
2023-05-23,枇杷,云南/福建,18.33,泡沫箱
2023-05-23,芒果,海南,6.25,筐
2023-05-23,火龙果,广东/海南,9.67,胶框
2023-05-23,杨桃,广东,4.75,胶框
2023-05-23,龙眼,海南,14.25,泡沫箱
2023-05-23,圣女果,广西/广东/海南,11.6,胶箱
2023-05-23,荔枝,海南,13.25,泡沫箱
2023-05-23,番石榴,广东,4.63,纸箱
2023-05-23,苹果,陕西,10.61,胶箱
2023-05-23,香瓜,广西/海南,4,纸箱
2023-05-23,布冧,陕西,12.86,纸箱
2023-05-23,提子,云南,17.17,胶框
2023-05-23,桃,河北/山东/广西/陕西/山西/湖北,13.33,纸箱
2023-05-23,梨,山西,8.26,纸箱
2023-05-23,香梨,新疆,13.75,纸箱
2023-05-23,菠萝蜜,海南,7.5,个
2023-05-23,菠萝,广东,5.77,胶框
2023-05-23,香蕉,广东/海南,4.7,纸箱
2023-05-23,西瓜,海南/广西/云南,4.64,纸箱
2023-05-23,柠檬,四川/广东/海南,12,纸箱
2021-05-23,进口菠萝,泰国,10.75,纸箱
2021-05-23,进口菠萝蜜,泰国,8.75,纸箱
2021-05-23,进口龙眼,泰国,24.5,特级
2021-05-23,进口火龙果,越南,11.75,纸箱
2021-05-23,进口山竹,泰国/印度尼西亚,53.75,特级
2021-05-23,进口椰子,泰国,11.83,纸箱
2021-05-23,进口榴莲,泰国/越南,53.09,纸箱
2021-05-23,进口奇异果,智利/希腊,27,纸箱
2021-05-23,进口牛油果,秘鲁,24,纸箱
2021-05-23,进口橙,美国,17.5,纸箱
2021-05-23,进口苹果,秘鲁,16.58,纸箱
2021-05-23,进口提子,智利/秘鲁,24.74,纸箱
2021-05-23,进口西柚,南非/智利/埃及,11.67,纸箱
2021-05-23,进口啤梨,新西兰/智利/比利时,19.5,纸箱
2020-05-23,樱桃,辽宁/山东,70,胶框
2020-05-23,杨梅,福建/云南,15,胶框
2020-05-23,李,云南/广东,12,纸箱
2020-05-23,枇杷,云南/福建,19.17,泡沫箱
2020-05-23,芒果,海南,6.5,筐
2020-05-23,木瓜,海南,5.43,泡沫箱
2020-05-23,火龙果,广东/海南,9.67,胶框
2020-05-23,杨桃,广东,4.25,胶框
2020-05-23,龙眼,海南,16.25,泡沫箱
2020-05-23,圣女果,广西/广东/海南,11.4,胶箱
2020-05-23,荔枝,海南,17,泡沫箱
2020-05-23,番石榴,广东,4.25,纸箱
2020-05-23,桃,河北/山东/广西/陕西/山西/湖北,14.22,纸箱
2020-05-23,香瓜,广西/海南,4.5,纸箱
2020-05-23,布冧,陕西,10.71,纸箱
2020-05-23,菠萝,广东/海南,5.71,筐
2020-05-23,香梨,新疆,14.58,纸箱
2020-05-23,梨,河北,8.53,纸箱
2020-05-23,橙,广西/湖南/湖北,8.22,胶框
2020-05-23,菠萝蜜,广西,5.3,个
2020-05-23,香蕉,广东/海南,5,纸箱
2020-05-23,哈密瓜,海南,7.71,纸箱
2020-05-23,西瓜,海南/广西/云南,5.29,纸箱
2020-05-23,柠檬,四川/广东/海南,12,纸箱
2020-05-23,提子,云南,19.17,胶框
2020-05-23,苹果,山东/陕西,10.28,纸箱
2021-05-23,火龙果,广东/海南,9.5,胶框
2021-05-23,杨桃,广东,4.25,胶框
2021-05-23,龙眼,海南,16.38,泡沫箱
2021-05-23,圣女果,广西/广东/海南,11.5,胶箱
2021-05-23,荔枝,海南,17.25,泡沫箱
2021-05-23,番石榴,广东,4.25,纸箱
2021-05-23,桃,河北/山东/广西/陕西/山西/湖北,14.17,纸箱
2021-05-23,香瓜,广西/海南,4.5,纸箱
2021-05-23,布冧,陕西,11.07,纸箱
2021-05-23,菠萝,广东/海南,5.71,筐
2021-05-23,香梨,新疆,14.58,纸箱
2021-05-23,梨,河北,8.55,纸箱
2021-05-23,橙,广西/湖南/湖北,8.22,胶框
2021-05-23,菠萝蜜,广西,5.5,个
2021-05-23,香蕉,广东/海南,5.1,纸箱
2021-05-23,哈密瓜,海南,7.68,纸箱
2021-05-23,西瓜,海南/广西/云南,5.36,纸箱
2021-05-23,柠檬,四川/广东/海南,12,纸箱
2021-05-23,提子,云南,19.42,胶框
2021-05-23,苹果,山东/陕西,10.56,纸箱
2019-05-23,火龙果,广东/海南,9.67,胶框
2019-05-23,杨桃,广东,4.38,胶框
2019-05-23,龙眼,海南,16.38,泡沫箱
2019-05-23,圣女果,广西/广东/海南,11.5,胶箱
2019-05-23,荔枝,海南,16.88,泡沫箱
2019-05-23,番石榴,广东,4.38,纸箱
2019-05-23,桃,河北/山东/广西/陕西/山西/湖北,14.44,纸箱
2019-05-23,香瓜,广西/海南,4.5,纸箱
2019-05-23,布冧,陕西,10.71,纸箱
2019-05-23,菠萝,广东/海南,5.71,筐
2019-05-23,香梨,新疆,14.58,纸箱
2019-05-23,梨,河北,8.55,纸箱
2019-05-23,橙,广西/湖南/湖北,8.22,胶框
2019-05-23,菠萝蜜,广西,5.45,个
2019-05-23,香蕉,广东/海南,5.2,纸箱
2019-05-23,哈密瓜,海南,7.68,纸箱
2019-05-23,西瓜,海南/广西/云南,5.36,纸箱
2019-05-23,柠檬,四川/广东/海南,12,纸箱
2019-05-23,提子,云南,19.58,胶框
2019-05-23,苹果,山东/陕西,10.42,纸箱
2018-05-23,进口菠萝,泰国,10.5,纸箱
2018-05-23,进口菠萝蜜,泰国,8.75,纸箱
2018-05-23,进口龙眼,泰国,24.5,特级
2018-05-23,进口火龙果,越南,12,纸箱
2018-05-23,进口山竹,泰国/印度尼西亚,53.75,特级
2018-05-23,进口椰子,泰国,11.67,纸箱
2018-05-23,进口榴莲,泰国/越南,52.94,纸箱
2018-05-23,进口奇异果,智利/希腊,26,纸箱
2018-05-23,进口牛油果,秘鲁,24,纸箱
2018-05-23,进口橙,美国,17.35,纸箱
2018-05-23,进口苹果,秘鲁,16.32,纸箱
2018-05-23,进口提子,智利/秘鲁,24.21,纸箱
2018-05-23,进口西柚,南非/智利/埃及,11.67,纸箱
2018-05-23,进口啤梨,新西兰/智利/比利时,19,纸箱
2017-05-23,樱桃,辽宁/山东,78,胶框
2017-05-23,杨梅,福建/云南,16.11,胶框
2017-05-23,李,云南/广东,12.67,纸箱
2017-05-23,枇杷,云南/福建,18.33,泡沫箱
2017-05-23,芒果,海南,6.4,筐
2017-05-23,木瓜,海南,5.57,泡沫箱
2020-05-23,进口菠萝,泰国,10.5,纸箱
2020-05-23,进口菠萝蜜,泰国,8.75,纸箱
2020-05-23,进口龙眼,泰国,24.5,特级
2020-05-23,进口火龙果,越南,12,纸箱
2020-05-23,进口山竹,泰国/印度尼西亚,53.75,特级
2020-05-23,进口椰子,泰国,11.67,纸箱
2020-05-23,进口榴莲,泰国/越南,52.94,纸箱
2020-05-23,进口奇异果,智利/希腊,26,纸箱
2020-05-23,进口牛油果,秘鲁,24,纸箱
2020-05-23,进口橙,美国,17.35,纸箱
2020-05-23,进口苹果,秘鲁,16.32,纸箱
2020-05-23,进口提子,智利/秘鲁,24.21,纸箱
2020-05-23,进口西柚,南非/智利/埃及,11.67,纸箱
2020-05-23,进口啤梨,新西兰/智利/比利时,19,纸箱
2019-05-23,樱桃,辽宁/山东,69,胶框
2019-05-23,杨梅,福建/云南,15.56,胶框
2019-05-23,李,云南/广东,12.17,纸箱
2019-05-23,枇杷,云南/福建,19.17,泡沫箱
2019-05-23,芒果,海南,6.65,筐
2019-05-23,木瓜,海南,5.43,泡沫箱
2018-05-23,火龙果,广东/海南,9.67,胶框
2018-05-23,杨桃,广东,4.25,胶框
2018-05-23,龙眼,海南,16.25,泡沫箱
2018-05-23,圣女果,广西/广东/海南,11.4,胶箱
2018-05-23,荔枝,海南,17,泡沫箱
2018-05-23,番石榴,广东,4.25,纸箱
2018-05-23,桃,河北/山东/广西/陕西/山西/湖北,14.22,纸箱
2018-05-23,香瓜,广西/海南,4.5,纸箱
2018-05-23,布冧,陕西,10.71,纸箱
2018-05-23,菠萝,广东/海南,5.71,筐
2018-05-23,香梨,新疆,14.58,纸箱
2018-05-23,梨,河北,8.53,纸箱
2018-05-23,橙,广西/湖南/湖北,8.22,胶框
2018-05-23,菠萝蜜,广西,5.3,个
2018-05-23,香蕉,广东/海南,5,纸箱
2018-05-23,哈密瓜,海南,7.71,纸箱
2018-05-23,西瓜,海南/广西/云南,5.29,纸箱
2018-05-23,柠檬,四川/广东/海南,12,纸箱
2018-05-23,提子,云南,19.17,胶框
2018-05-23,苹果,山东/陕西,10.28,纸箱
2016-05-23,火龙果,广东/海南,9.33,胶框
2016-05-23,杨桃,广东,4.38,胶框
2016-05-23,龙眼,海南,17.5,泡沫箱
2016-05-23,圣女果,广西/广东/海南,11.5,胶箱
2016-05-23,荔枝,海南,19.5,泡沫箱
2016-05-23,番石榴,广东,4.75,纸箱
2016-05-23,香瓜,广西/海南,6,纸箱
2016-05-23,布冧,陕西,10,纸箱
2016-05-23,橙,广西/湖南/湖北,8.44,胶箱
2016-05-23,提子,云南,19.58,胶框
2016-05-23,桃,河北/山东/广西/陕西/山西,15,纸箱
2016-05-23,哈密瓜,海南,8.29,纸箱
2016-05-23,菠萝,广东/海南,4.69,筐
2016-05-23,菠萝蜜,海南,6.25,个
2016-05-23,柠檬,四川/广东/海南,12.95,纸箱
2016-05-23,香蕉,广东/海南,5.85,纸箱
2016-05-23,香梨,新疆,14.17,纸箱
2016-05-23,西瓜,海南/广西/云南,5.57,纸箱
2016-05-23,梨,河北/山西,7.63,纸箱
2016-05-23,苹果,山东/陕西,10.83,纸箱
2017-05-23,进口菠萝,泰国,10,纸箱
2017-05-23,进口菠萝蜜,泰国,8.5,纸箱
2017-05-23,进口泰柚,泰国,11.84,纸箱
2017-05-23,进口火龙果,越南,12,纸箱
2017-05-23,进口山竹,泰国/印度尼西亚,51.25,特级
2017-05-23,进口椰子,泰国,11,纸箱
2017-05-23,进口榴莲,泰国/越南,51.18,纸箱
2017-05-23,进口奇异果,智利/希腊,27,纸箱
2017-05-23,进口牛油果,秘鲁,25,纸箱
2017-05-23,进口橙,美国,16.76,纸箱
2017-05-23,进口苹果,秘鲁,15.79,纸箱
2017-05-23,进口提子,智利/秘鲁,23.16,纸箱
2017-05-23,进口西柚,南非/智利/埃及,11.33,纸箱
2017-05-23,进口啤梨,新西兰/智利/比利时,17,纸箱
2016-05-23,樱桃,辽宁/山东,76,胶框
2016-05-23,杨梅,福建/云南,16.11,胶框
2016-05-23,李,云南/广东,12,纸箱
2016-05-23,枇杷,云南/福建,16.67,泡沫箱
2016-05-23,芒果,海南,6.5,筐
2016-05-23,木瓜,海南,5.71,泡沫箱
2022-05-23,苹果,山东/陕西,10,纸箱
2022-05-23,进口菠萝,泰国,10.5,纸箱
2022-05-23,进口龙眼,泰国,23.5,特级
2022-05-23,进口火龙果,越南,12.5,纸箱
2022-05-23,进口山竹,泰国/印度尼西亚,52.5,特级
2022-05-23,进口椰子,泰国,12.33,纸箱
2022-05-23,进口榴莲,泰国,55,纸箱
2022-05-23,进口奇异果,智利/希腊,31,纸箱
2022-05-23,进口牛油果,秘鲁,24.75,纸箱
2022-05-23,进口啤梨,新西兰/智利/比利时,21,纸箱
2022-05-23,进口橙,美国,17.65,纸箱
2022-05-23,进口苹果,秘鲁,17.11,纸箱
2022-05-23,进口提子,智利/秘鲁,25.26,纸箱
2022-05-23,进口西柚,南非/智利/埃及,11.33,纸箱
2021-05-23,樱桃,辽宁/山东,70,胶框
2021-05-23,杨梅,福建/云南,15.56,胶框
2021-05-23,李,云南/广东,12.5,纸箱
2021-05-23,枇杷,云南/福建,19.17,泡沫箱
2021-05-23,芒果,海南,6.75,筐
2021-05-23,木瓜,海南,5.54,泡沫箱
2024-04-23,杨桃,广东,6,胶框
2024-04-23,番石榴,广东,6.75,纸箱
2024-04-23,圣女果,广西/广东/海南,8.5,胶箱
2024-04-23,香瓜,广西/海南,6.5,纸箱
2024-04-23,奇异果,陕西,18,纸箱
2024-04-23,苹果,陕西,9.44,纸箱
2024-04-23,提子,云南/新疆,14.58,胶框
2024-04-23,桃,山东,13.89,纸箱
2024-04-23,梨,山西,6.74,纸箱
2024-04-23,香梨,新疆,12.5,纸箱
2024-04-23,菠萝蜜,海南,5.75,个
2024-04-23,菠萝,广东,4.63,胶框
2024-04-23,香蕉,广东/海南,5.45,纸箱
2024-04-23,西瓜,海南/广西/云南,4.57,纸箱
2024-04-23,柠檬,四川/广东,11.5,纸箱
2024-04-23,橙,广西/江西/湖南/四川,6.71,胶箱
2024-04-23,哈密瓜,海南,5.68,纸箱
2024-04-23,进口菠萝蜜,泰国,7.5,纸箱
2024-04-23,进口山竹,泰国/印尼,29.38,特级
2024-04-23,进口火龙果,越南,9.5,纸箱
2015-05-23,进口山竹,泰国/印尼,48.13,特级
2015-05-23,进口火龙果,越南,11,纸箱
2015-05-23,进口榴莲,泰国/越南,47.94,纸箱
2015-05-23,进口龙眼,泰国,21.5,特级
2015-05-23,进口椰子,泰国,9.33,纸箱
2015-05-23,进口牛油果,秘鲁,28,纸箱
2015-05-23,进口西柚,以色列,9.67,纸箱
2015-05-23,进口奇异果,希腊,25,纸箱
2015-05-23,进口啤梨,智利,14,纸箱
2015-05-23,进口苹果,美国,14.74,纸箱
2015-05-23,进口提子,秘鲁/澳大利亚,21.05,胶箱
2015-05-23,进口橙,美国/埃及,15.29,纸箱
2014-05-23,樱桃,辽宁/山东,80,胶框
2014-05-23,杨梅,福建/云南,18.06,胶框
2014-05-23,李,云南/广东,12,纸箱
2014-05-23,枇杷,云南/福建,15.83,泡沫箱
2014-05-23,芒果,海南,7.1,筐
2014-05-23,木瓜,海南,5.36,泡沫箱
2014-05-23,火龙果,广东/海南,9.33,胶框
2014-05-23,杨桃,广东,4.38,胶框
2005-05-23,进口榴莲,泰国/越南,45.29,纸箱
2005-05-23,进口龙眼,泰国,19.5,特级
2005-05-23,进口椰子,泰国,10,纸箱
2005-05-23,进口李,澳洲/南非,17.22,纸箱
2005-05-23,进口牛油果,秘鲁,30,纸箱
2005-05-23,进口啤梨,智利,9.58,纸箱
2005-05-23,进口苹果,美国,16.58,纸箱
